---- Correlation between relPower and Comorbidities ---- 

|Y        |X                   |Band  | N.healthy| N.diseased|      p|  p.adj|p.signif |
|:--------|:-------------------|:-----|---------:|----------:|------:|------:|:--------|
|relPower |apnea               |delta |        67|         85| 0.0000| 0.0009|****     |
|relPower |apnea               |theta |        67|         85| 0.0272| 0.3800|*        |
|relPower |apnea               |alpha |        67|         85| 0.0871| 0.7092|ns       |
|relPower |apnea               |sigma |        67|         85| 0.5230| 0.8933|ns       |
|relPower |apnea               |beta  |        67|         85| 0.5910| 0.9354|ns       |
|relPower |apnea               |gamma |        67|         85| 0.0009| 0.0518|***      |
|relPower |arrythmia           |delta |       149|          3| 0.4110| 0.8884|ns       |
|relPower |arrythmia           |theta |       149|          3| 0.1640| 0.8061|ns       |
|relPower |arrythmia           |alpha |       149|          3| 0.5510| 0.9039|ns       |
|relPower |arrythmia           |sigma |       149|          3| 0.2490| 0.8636|ns       |
|relPower |arrythmia           |beta  |       149|          3| 0.5690| 0.9136|ns       |
|relPower |arrythmia           |gamma |       149|          3| 0.1810| 0.8061|ns       |
|relPower |asthma              |delta |       150|          2| 0.0495| 0.5491|*        |
|relPower |asthma              |theta |       150|          2| 0.1930| 0.8061|ns       |
|relPower |asthma              |alpha |       150|          2| 0.4520| 0.8884|ns       |
|relPower |asthma              |sigma |       150|          2| 0.5990| 0.9354|ns       |
|relPower |asthma              |beta  |       150|          2| 0.3960| 0.8884|ns       |
|relPower |asthma              |gamma |       150|          2| 0.0533| 0.5491|ns       |
|relPower |cad                 |delta |       147|          5| 0.8120| 0.9848|ns       |
|relPower |cad                 |theta |       147|          5| 0.7570| 0.9807|ns       |
|relPower |cad                 |alpha |       147|          5| 0.2690| 0.8711|ns       |
|relPower |cad                 |sigma |       147|          5| 0.6420| 0.9419|ns       |
|relPower |cad                 |beta  |       147|          5| 0.7100| 0.9465|ns       |
|relPower |cad                 |gamma |       147|          5| 0.0124| 0.2987|*        |
|relPower |difficulty.sleeping |delta |       138|         14| 0.0651| 0.5709|ns       |
|relPower |difficulty.sleeping |theta |       138|         14| 0.4500| 0.8884|ns       |
|relPower |difficulty.sleeping |alpha |       138|         14| 0.3190| 0.8748|ns       |
|relPower |difficulty.sleeping |sigma |       138|         14| 0.6760| 0.9419|ns       |
|relPower |difficulty.sleeping |beta  |       138|         14| 0.8660| 0.9911|ns       |
|relPower |difficulty.sleeping |gamma |       138|         14| 0.1470| 0.8061|ns       |
|relPower |Dreaming            |delta |        50|        102| 0.8860| 0.9911|ns       |
|relPower |Dreaming            |theta |        50|        102| 0.4480| 0.8884|ns       |
|relPower |Dreaming            |alpha |        50|        102| 0.1980| 0.8061|ns       |
|relPower |Dreaming            |sigma |        50|        102| 0.3140| 0.8748|ns       |
|relPower |Dreaming            |beta  |        50|        102| 0.2850| 0.8711|ns       |
|relPower |Dreaming            |gamma |        50|        102| 0.2710| 0.8711|ns       |
|relPower |dry.mouth           |delta |        46|        106| 0.5070| 0.8933|ns       |
|relPower |dry.mouth           |theta |        46|        106| 0.1090| 0.7712|ns       |
|relPower |dry.mouth           |alpha |        46|        106| 0.3230| 0.8748|ns       |
|relPower |dry.mouth           |sigma |        46|        106| 0.7140| 0.9465|ns       |
|relPower |dry.mouth           |beta  |        46|        106| 0.7900| 0.9831|ns       |
|relPower |dry.mouth           |gamma |        46|        106| 0.6090| 0.9382|ns       |
|relPower |early.awakening     |delta |       121|         31| 0.6910| 0.9419|ns       |
|relPower |early.awakening     |theta |       121|         31| 0.6910| 0.9419|ns       |
|relPower |early.awakening     |alpha |       121|         31| 0.6410| 0.9419|ns       |
|relPower |early.awakening     |sigma |       121|         31| 1.0000| 1.0000|ns       |
|relPower |early.awakening     |beta  |       121|         31| 0.6610| 0.9419|ns       |
|relPower |early.awakening     |gamma |       121|         31| 0.2810| 0.8711|ns       |
|relPower |htn                 |delta |       131|         21| 0.1250| 0.7917|ns       |
|relPower |htn                 |theta |       131|         21| 0.2060| 0.8098|ns       |
|relPower |htn                 |alpha |       131|         21| 0.1980| 0.8061|ns       |
|relPower |htn                 |sigma |       131|         21| 0.9490| 0.9911|ns       |
|relPower |htn                 |beta  |       131|         21| 0.9400| 0.9911|ns       |
