Data,1.N1,2.N1,3.N1,4.N1,5.N1,6.N1,7.N1,8.N1,9.N1,10.N1,1.REM,2.REM,3.REM,4.REM,5.REM,6.REM,7.REM,8.REM,9.REM,10.REM,1.Wake,2.Wake,3.Wake,4.Wake,5.Wake,6.Wake,7.Wake,8.Wake,9.Wake,10.Wake,11.N1,12.N1,13.N1,14.N1,15.N1,16.N1,17.N1,18.N1,19.N1,20.N1,11.REM,12.REM,13.REM,14.REM,15.REM,16.REM,17.REM,18.REM,19.REM,20.REM,11.Wake,12.Wake,13.Wake,14.Wake,15.Wake,16.Wake,17.Wake,18.Wake,19.Wake,20.Wake
delta.F3,55.99550465,53.76246044,59.08652278,55.2139195,55.99550465,55.99550465,59.08652278,53.76246044,52.14682116,53.76246044,51.80894089,53.02529653,56.6659495,57.98756536,51.80894089,51.80894089,56.6659495,51.86034775,52.70953878,51.86034775,50.46462695,51.58975538,55.88977941,52.98323568,50.46462695,50.46462695,55.88977941,54.79161708,51.02915192,54.79161708,49.83620616,54.01698412,54.43124008,50.43968746,49.76631655,50.00694438,53.52165059,60.61004857,54.70047379,54.4241333,59.45191638,51.39515241,51.34387016,47.90944036,54.82375526,54.76210912,54.28802172,53.93437513,52.6542867,53.59710185,44.53864797,45.94851367,52.00902239,46.02258301,50.18452199,53.94961739,48.33344332,51.44398435,45.35755157,51.30491002
delta.F4,55.47637721,58.4635255,59.52423968,55.74208995,55.47637721,55.47637721,59.52423968,58.4635255,52.16130502,58.4635255,53.39290682,50.19556363,55.33579381,58.08728917,53.39290682,53.39290682,55.33579381,52.02664502,53.20297813,52.02664502,52.79917463,49.4542052,54.61726189,54.41420555,52.79917463,52.79917463,54.61726189,52.7117157,50.37129847,52.7117157,52.82865252,54.49397114,54.85566602,50.85015651,50.07816206,55.57907377,53.49111993,61.09917722,54.56853049,56.06953757,53.86278915,52.0044473,51.58638128,47.70434697,54.16333453,50.18191147,54.44676145,55.82581647,52.31912168,54.53265826,47.36739794,46.10617638,47.85146968,46.58467229,50.42235819,58.87602297,48.46675873,59.09952545,45.03129514,50.32675489
delta.C3,56.3263092,52.00322778,59.08982577,53.78849357,56.3263092,56.3263092,59.08982577,52.00322778,53.66327013,52.00322778,50.76617813,47.40586344,56.48925908,57.3582948,50.76617813,50.76617813,56.48925908,49.74082375,54.14531771,49.74082375,50.29841614,47.77901332,55.25902812,52.19903183,50.29841614,50.29841614,55.25902812,50.60059293,53.08977063,50.60059293,51.65387453,49.77388055,53.78481075,46.40900203,42.49342346,45.95646722,51.29978561,58.68973814,50.8457598,52.3919438,51.4270134,49.78960292,50.02714856,48.44987742,47.3849411,43.50833193,53.36343384,50.42369334,48.05836169,50.41840553,46.14920998,41.90889231,49.51807022,43.6858813,44.24580256,48.20188522,47.43441137,48.9437027,41.50810178,49.91651408
delta.C4,55.61995861,56.86559568,57.94869014,54.23839351,55.61995861,55.61995861,57.94869014,56.86559568,53.63654709,56.86559568,51.87578964,47.25185013,55.13967005,55.552845,51.87578964,51.87578964,55.13967005,50.60074679,53.54002317,50.60074679,51.20478439,46.46507708,53.3146464,53.28281784,51.20478439,51.20478439,53.3146464,49.85213216,51.62479719,49.85213216,50.71848951,49.96571895,51.85120392,51.17835835,45.77392796,45.63805553,50.14000211,59.58367756,50.55501665,57.98505565,50.06505458,50.63346545,48.17277145,46.11952273,50.81373723,46.47982407,52.15160942,52.81112226,48.09515254,51.98154259,45.58318392,39.84232712,43.79553541,47.99673971,44.49023565,49.3798542,46.89365387,51.81595484,42.85768255,49.96674792
delta.O1,55.30003302,52.0409911,56.96533258,55.24542727,55.30003302,55.30003302,56.96533258,52.0409911,56.14843641,52.0409911,50.46101316,55.27791214,55.92329661,57.44454384,50.46101316,50.46101316,55.92329661,54.50067457,55.26025009,54.50067457,49.97637812,52.65365791,55.48547109,52.36942736,49.97637812,49.97637812,55.48547109,51.04124769,54.38744863,51.04124769,52.30109678,55.97814887,55.57699203,53.53772409,47.37857873,52.5081264,52.37232862,60.52770669,48.26123047,51.98951231,54.41639328,52.20928065,54.10095406,54.67541377,57.81808408,50.41315079,56.15539169,54.86094602,44.34151204,54.80295626,46.12464523,44.61729622,48.00922076,49.40979513,47.07722791,51.85274378,51.04138756,54.9006513,44.23428408,51.76085854
delta.O2,54.43904931,56.13308334,56.80744825,55.45270865,54.43904931,54.43904931,56.80744825,56.13308334,56.16190284,56.13308334,51.49318123,54.93832461,57.15248934,57.44198163,51.49318123,51.49318123,57.15248934,53.59637197,55.31690598,53.59637197,50.58622996,52.4007384,56.58071136,53.90185865,50.58622996,50.58622996,56.58071136,50.81574631,53.96848551,50.81574631,52.50027793,55.97643117,55.65148054,51.57491738,46.81878172,51.98788888,51.57309995,60.98834229,53.80995887,53.59248734,53.53247325,56.07113393,53.56570053,53.23114777,52.21675809,50.80761528,55.97538948,55.92756844,51.78671964,55.09395091,46.43293254,44.88726171,51.43085162,47.81357702,46.29562314,52.4954052,50.92037328,56.53191694,44.50697263,51.47347641
theta.F3,48.78579664,46.20767355,51.8168478,51.16391039,48.78579664,48.78579664,51.8168478,46.20767355,46.86364365,46.20767355,48.15291023,48.5774579,52.33179331,53.65715551,48.15291023,48.15291023,52.33179331,47.02442074,48.91997576,47.02442074,47.38455343,48.37286091,54.17117929,50.92248297,47.38455343,47.38455343,54.17117929,47.55032969,49.69442606,47.55032969,48.07036352,48.02694225,48.85376978,43.05827665,44.86652851,44.06411314,48.7701087,51.43359375,47.36476946,46.83183193,52.08769083,45.42691946,46.26581097,44.78902721,48.69719601,46.10320759,49.16662216,49.67123032,47.21633101,48.20611334,41.95517969,41.63314724,43.7250948,41.19881773,45.47870398,43.81875372,47.29658127,48.95925474,43.24221754,45.3875823
theta.F4,48.98003578,48.00416565,52.43719721,52.61271381,48.98003578,48.98003578,52.43719721,48.00416565,45.63642788,48.00416565,48.24094391,47.68796587,51.44234896,54.04989576,48.24094391,48.24094391,51.44234896,46.79642248,49.08815861,46.79642248,47.16304493,45.99651384,53.09961033,52.77177811,47.16304493,47.16304493,53.09961033,45.81714964,48.20544481,45.81714964,49.26886082,48.73473263,49.7414608,44.00011158,45.10131979,47.2682929,48.4650979,52.52799702,46.81444073,47.66699409,50.99304295,45.95195246,47.68186188,46.50413036,48.23060656,44.30550289,49.00743246,51.06985283,47.62698841,47.69192886,43.18795729,42.51138115,43.15659952,42.94756889,45.9431448,49.44363642,47.09040117,53.04983139,44.53270197,44.9462285
theta.C3,49.61281157,44.74786472,52.02428484,50.62538195,49.61281157,49.61281157,52.02428484,44.74786472,48.624722,44.74786472,47.72411633,43.88331318,51.1332798,53.11689806,47.72411633,47.72411633,51.1332798,45.87753105,50.55334473,45.87753105,47.60484934,44.55732155,53.82662344,49.59970999,47.60484934,47.60484934,53.82662344,45.33804989,52.88841486,45.33804989,46.7413435,44.82985306,46.8505249,42.93554831,36.70853901,41.12965965,49.20470858,50.3828702,43.29725504,43.53375244,47.02126598,42.79640532,44.83286381,45.83555412,40.08242416,37.7809,49.10878801,47.2796278,43.48242426,45.42016363,41.79854345,36.92865038,41.27167559,40.24003363,39.14223337,38.70954704,48.19932175,48.14561176,39.89927959,44.15561819
theta.C4,49.463099,47.46174335,51.65715837,50.62686682,49.463099,49.463099,51.65715837,47.46174335,47.79129505,47.46174335,47.7080102,42.85894203,50.44216871,51.11197805,47.7080102,47.7080102,50.44216871,46.04328632,50.72941732,46.04328632,46.64885902,44.70442438,52.41064596,50.50709772,46.64885902,46.64885902,52.41064596,44.6667695,51.39823294,44.6667695,47.25291634,45.56372595,44.98464346,43.85605526,38.801054,40.96737528,47.85816622,51.83654308,44.84328985,48.55571651,48.03911638,44.10695791,43.03996563,44.25305605,43.75294447,41.00590706,47.48563623,50.00089979,44.07480192,45.86116743,41.89291286,37.3467989,37.71517801,41.76153612,39.94084692,39.92538548,47.01452684,51.91739416,41.18793297,44.01325846
theta.O1,50.09434128,47.34636688,51.18696308,53.40193462,50.09434128,50.09434128,51.18696308,47.34636688,50.33588076,47.34636688,47.26502895,50.90647364,50.46455479,53.73019314,47.26502895,47.26502895,50.46455479,51.38848972,52.11537075,51.38848972,47.69260454,50.32674217,53.58495522,50.32638836,47.69260454,47.69260454,53.58495522,47.54997396,53.01540756,47.54997396,49.22348499,51.46523905,51.59256935,49.54970074,43.46761656,48.7678647,51.44279575,54.73992252,41.26646471,48.38546276,50.84106255,47.44300175,50.26320887,51.37694359,51.39034557,46.66016912,51.28147793,53.10136414,38.52637577,50.11376143,44.15260553,41.90168238,46.37654591,46.51408052,46.29645491,46.0622139,52.16960573,54.32330132,41.25772953,47.23267078
theta.O2,49.56807852,48.39987707,51.74802637,53.16716814,49.56807852,49.56807852,51.74802637,48.39987707,50.44735479,48.39987707,46.85706139,50.4246316,51.50098991,53.5193634,46.85706139,46.85706139,51.50098991,50.32236052,52.32387686,50.32236052,46.89517879,49.78087807,54.6209693,50.48886633,46.89517879,46.89517879,54.6209693,47.37901258,52.811203,47.37901258,49.19215012,52.25705671,52.19167709,47.67421484,42.48723269,48.53888083,51.52333689,55.27570963,48.43856764,48.77273989,50.11468792,49.56906223,49.40655279,49.24141026,48.10919428,46.62854242,50.98460436,54.54364824,47.92801285,49.96348906,44.51972389,41.99005318,45.93456554,44.13392448,43.85386038,45.8391242,51.7152195,55.57478094,43.06561613,47.12891293
